gene_id	flank_pos	n_alts	mean_abs_delta	max_abs_delta	mean_delta
AT1G01040	0	3	0.0003499463200569153	0.0004620850086212158	-0.0003499463200569153
AT1G01040	5	3	0.00029212236404418945	0.0006205067038536072	-0.00029212236404418945
AT1G01040	14	3	0.00019337236881256104	0.0003324970602989197	0.00019337236881256104
AT1G01040	19	3	0.00013482322295506796	0.00019647181034088135	4.424403111139933e-05
AT1G01040	21	3	0.00011272231737772624	0.0002532154321670532	6.35981559753418e-05
AT1G01040	66	3	0.0003815094629923503	0.000620521605014801	-0.0003815094629923503
AT1G01040	70	3	0.0004566684365272522	0.000737115740776062	-0.0004566684365272522
AT1G01040	76	3	0.00030914942423502606	0.00038199126720428467	-0.00030914942423502606
AT1G01040	104	3	0.0002747351924578349	0.00039231032133102417	-0.0002747351924578349
AT1G01040	132	3	0.00021974494059880575	0.0004429370164871216	7.554640372594197e-05
AT1G01040	138	3	0.00023171802361806235	0.00037772953510284424	-0.00018408397833506265
AT1G01040	199	3	0.0003769993782043457	0.00046193599700927734	-0.00010394056638081868
AT1G01040	206	3	0.0003057345747947693	0.0004895105957984924	0.00020509213209152222
AT1G01040	246	3	0.00022552410761515299	0.00046969205141067505	-0.00022552410761515299
AT1G01040	251	3	0.00033720086018244427	0.0006003454327583313	6.302942832310994e-05
AT1G01040	257	3	0.0005140900611877441	0.000563792884349823	0.0005140900611877441
AT1G01040	271	3	0.0002434849739074707	0.0005234181880950928	-0.0002434849739074707
AT1G01040	275	3	0.0005039945244789124	0.000634312629699707	-0.0005039945244789124
AT1G01040	371	3	0.00028049200773239136	0.0004382878541946411	0.00022800515095392862
AT1G01040	401	3	0.0003019322951634725	0.0004421547055244446	0.0003019322951634725
AT1G01040	455	3	0.0004384741187095642	0.0009110718965530396	-0.00038425376017888385
AT1G01040	462	3	0.0003215397397677104	0.00048657506704330444	-2.843638261159261e-06
AT1G01040	472	3	0.00014967968066533407	0.00018497556447982788	2.6362637678782146e-05
AT1G01040	479	3	0.0003195032477378845	0.0004643574357032776	-7.719546556472778e-05
AT1G01040	491	3	0.0005917946497599283	0.0006565675139427185	-0.0005917946497599283
AT1G01040	494	3	0.00016025453805923462	0.0002409815788269043	0.00016025453805923462
AT1G01040	503	3	0.000605692466100057	0.000753358006477356	-0.000605692466100057
AT1G01040	515	3	0.0002973775068918864	0.0004954934120178223	-0.0002973775068918864
AT1G01040	531	3	0.00024990737438201904	0.00046975910663604736	-0.00024990737438201904
AT1G01040	549	3	0.0003386586904525757	0.00038604438304901123	-0.0003386586904525757
AT1G01040	551	3	0.0002145196000734965	0.00038535892963409424	-4.238635301589966e-05
AT1G01040	559	3	0.0001442904273668925	0.0002342909574508667	1.1903544267018637e-05
AT1G01040	597	3	0.00014817963043848673	0.00022920966148376465	-4.626810550689697e-06
AT1G01040	605	3	0.00030345966418584186	0.0006836429238319397	0.00015230228503545126
AT1G01040	612	3	0.00014399240414301553	0.00035656988620758057	-9.372085332870483e-05
AT1G01040	622	3	8.216748634974162e-05	0.00011037290096282959	8.58555237452189e-06
AT1G01040	644	3	0.0001886362830797831	0.000293537974357605	0.0001234784722328186
AT1G01040	647	3	0.00013207892576853433	0.0001825094223022461	-0.00013207892576853433
AT1G01040	665	3	0.00010202080011367798	0.00025325268507003784	-6.681432326634724e-05
AT1G01040	667	3	0.00028027594089508057	0.00033198297023773193	-0.00028027594089508057
AT1G01040	691	3	0.00015249103307724	0.00020820647478103638	-0.0001201753815015157
AT1G01040	700	3	0.0006495863199234009	0.0009777098894119263	-0.00046748419602711994
AT1G01040	710	3	0.0005935182174046835	0.0007740631699562073	-0.0005935182174046835
AT1G01040	744	3	0.00016023963689804077	0.0004399493336677551	-0.00014683852593104044
AT1G01040	761	3	0.0003677383065223694	0.0004041418433189392	0.0001693094770113627
AT1G01040	762	3	0.0007941698034604391	0.0009405538439750671	-0.0007941698034604391
AT1G01040	768	3	0.0004534398516019185	0.000851847231388092	0.0001144583026568095
AT1G01040	769	3	0.0002172763148943583	0.00027082860469818115	-0.0001308297117551168
AT1G01040	773	3	0.0003015249967575073	0.0005560070276260376	-6.91463549931844e-05
AT1G01040	787	3	0.0010880529880523682	0.0017733126878738403	-0.0008212079604466757
AT1G01040	790	3	0.0003734553853670756	0.000632166862487793	0.0003734553853670756
AT1G01040	815	3	0.0003991251190503438	0.0005906298756599426	-0.0003878648082415263
AT1G01040	822	3	0.0012932817141215007	0.0016056820750236511	-0.0012932817141215007
AT1G01040	846	3	0.00031158079703648883	0.0003960803151130676	4.75272536277771e-05
AT1G01040	885	3	0.0005914544065793356	0.0011470168828964233	0.0005914544065793356
AT1G01040	896	3	0.00022720048824946085	0.00044786930084228516	-0.0001337255040804545
AT1G01040	927	3	0.00019141286611557007	0.00032208114862442017	2.3307899634043377e-05
AT1G01040	951	3	0.00022581468025843302	0.0003618597984313965	0.00022581468025843302
AT1G01040	961	3	0.00023194899161656698	0.0003609210252761841	-0.00023194899161656698
AT1G01040	963	3	0.00022988269726435343	0.00045972317457199097	7.659941911697388e-05
AT1G01040	964	3	0.0006069516142209371	0.001158885657787323	-0.0005732650558153788
AT1G01040	966	3	0.0009087671836217245	0.001400284469127655	-0.0009087671836217245
AT1G01040	970	3	0.00041304777065912884	0.000680193305015564	-0.00037074337402979535
AT1G01040	972	3	0.00033677369356155396	0.00046147406101226807	-0.00023159136374791464
AT1G01040	997	3	0.0007161746422449747	0.0011450126767158508	-0.0007161746422449747
AT1G01040	1013	3	0.0008957857886950175	0.0011452287435531616	-0.0008957857886950175
AT1G01040	1025	3	0.0010212635000546773	0.0013546422123908997	0.0010212635000546773
AT1G01040	1039	3	0.0006301254034042358	0.0006880909204483032	-0.0006301254034042358
AT1G01040	1040	3	0.0002607951561609904	0.00048454850912094116	0.00024782121181488037
AT1G01040	1042	3	0.0003880237539609273	0.0004743635654449463	-0.0003880237539609273
AT1G01040	1047	3	0.0005365734299023946	0.001063130795955658	-0.0005365734299023946
AT1G01040	1050	3	0.00041067103544871014	0.0006228536367416382	0.00041067103544871014
AT1G01040	1067	3	0.0004412904381752014	0.0006517767906188965	-0.0004412904381752014
AT1G01040	1104	3	0.00011451045672098796	0.00023711472749710083	0.00011451045672098796
AT1G01040	1109	3	9.07580057779948e-05	0.00011051446199417114	9.07580057779948e-05
AT1G01040	1114	3	0.0004345327615737915	0.0007835030555725098	0.0004345327615737915
AT1G01040	1124	3	0.00013482819000879923	0.00021576881408691406	8.089592059453328e-05
